lat,lon,elev_m
-54.0,-72.0,0.0
-54.0,-69.0,0.0
-51.0,-75.0,300.0
-51.0,-72.0,173.0
-48.0,-75.0,427.0
-48.0,-72.0,1115.0
-48.0,-69.0,248.0
-48.0,-66.0,0.0
-45.0,-72.0,860.0
-45.0,-69.0,383.0
-45.0,-66.0,0.0
-45.0,168.0,163.0
-45.0,171.0,0.0
-42.0,-72.0,797.0
-42.0,-69.0,881.0
-42.0,-66.0,163.0
-42.0,147.0,141.0
-42.0,174.0,0.0
-39.0,-72.0,1279.0
-39.0,-69.0,840.0
-39.0,-66.0,197.0
-39.0,-63.0,33.0
-39.0,177.0,0.0
-36.0,-72.0,300.0
-36.0,-69.0,1349.0
-36.0,-66.0,275.0
-36.0,-63.0,133.0
-36.0,-60.0,171.0
-36.0,141.0,99.0
-36.0,144.0,218.0
-36.0,147.0,794.0
-36.0,150.0,0.0
-36.0,174.0,0.0
-33.0,-69.0,1169.0
-33.0,-66.0,594.0
-33.0,-63.0,129.0
3.0,-57.0,219.0
3.0,-54.0,191.0
3.0,-51.0,15.0
3.0,12.0,683.0
3.0,15.0,541.0
3.0,18.0,355.0
3.0,21.0,455.0
3.0,24.0,442.0
3.0,27.0,707.0
3.0,30.0,1473.0
3.0,33.0,1050.0
3.0,36.0,410.0
3.0,39.0,555.0
3.0,42.0,414.0
3.0,45.0,111.0
3.0,99.0,445.0
3.0,102.0,567.0
3.0,114.0,266.0
3.0,117.0,359.0
6.0,-75.0,1156.0
6.0,-72.0,833.0
6.0,-69.0,83.0
6.0,-66.0,360.0
6.0,-63.0,424.0
6.0,-60.0,119.0
6.0,-9.0,162.0
6.0,-6.0,200.0
6.0,-3.0,146.0
6.0,0.0,78.0
6.0,6.0,79.0
6.0,9.0,102.0
6.0,12.0,917.0
6.0,15.0,891.0
6.0,18.0,640.0
6.0,21.0,485.0
6.0,24.0,644.0
6.0,27.0,611.0
6.0,30.0,513.0
6.0,33.0,430.0
6.0,36.0,447.0
6.0,39.0,1413.0
6.0,42.0,1299.0
6.0,45.0,542.0
6.0,48.0,121.0
6.0,102.0,14.0
6.0,117.0,803.0
9.0,-78.0,330.0
9.0,-75.0,32.0
9.0,-72.0,3.0
9.0,-69.0,86.0
9.0,-66.0,164.0
9.0,-63.0,74.0
9.0,-12.0,111.0
9.0,-9.0,572.0
9.0,-6.0,330.0
9.0,-3.0,274.0
9.0,0.0,204.0
9.0,3.0,340.0
9.0,6.0,132.0
9.0,9.0,628.0
9.0,12.0,303.0
9.0,15.0,372.0
9.0,18.0,368.0
9.0,21.0,433.0
9.0,24.0,638.0
9.0,27.0,449.0
9.0,30.0,394.0
9.0,33.0,398.0
9.0,36.0,1717.0
9.0,39.0,2437.0
9.0,42.0,1412.0
9.0,45.0,960.0
9.0,48.0,654.0
9.0,78.0,54.0
9.0,81.0,0.0
9.0,99.0,44.0
9.0,105.0,1.0
9.0,126.0,156.0
12.0,-84.0,17.0
12.0,-72.0,44.0
12.0,-15.0,30.0
12.0,-12.0,263.0
12.0,-9.0,337.0
12.0,-6.0,451.0
12.0,-3.0,281.0
12.0,0.0,306.0
12.0,3.0,195.0
12.0,6.0,385.0
12.0,9.0,404.0
12.0,12.0,369.0
12.0,15.0,294.0
12.0,18.0,379.0
12.0,21.0,515.0
12.0,24.0,755.0
12.0,27.0,479.0
12.0,30.0,646.0
12.0,33.0,397.0
12.0,36.0,695.0
12.0,39.0,2130.0
12.0,42.0,558.0
12.0,51.0,0.0
12.0,78.0,458.0
12.0,99.0,181.0
12.0,105.0,9.0
12.0,108.0,674.0
15.0,-90.0,1248.0
15.0,-87.0,1569.0
15.0,-84.0,74.0
15.0,-15.0,49.0
15.0,-12.0,129.0
15.0,-9.0,297.0
15.0,-6.0,323.0
15.0,-3.0,348.0
15.0,0.0,297.0
15.0,3.0,282.0
15.0,6.0,505.0
15.0,9.0,546.0
15.0,12.0,354.0
15.0,15.0,351.0
15.0,18.0,286.0
15.0,21.0,487.0
15.0,24.0,971.0
15.0,27.0,689.0
15.0,30.0,502.0
15.0,33.0,396.0
15.0,36.0,438.0
15.0,39.0,1862.0
15.0,45.0,1435.0
15.0,48.0,1418.0
15.0,75.0,530.0
15.0,78.0,252.0
15.0,99.0,813.0
15.0,102.0,186.0
15.0,105.0,137.0
15.0,108.0,2075.0
18.0,-102.0,31.0
18.0,-99.0,836.0
18.0,-96.0,28.0
18.0,-93.0,6.0
18.0,-90.0,213.0
18.0,-66.0,35.0
18.0,-15.0,31.0
18.0,-12.0,314.0
18.0,-9.0,262.0
18.0,-6.0,306.0
18.0,-3.0,270.0
18.0,0.0,370.0
18.0,3.0,394.0
18.0,6.0,344.0
18.0,9.0,1031.0
18.0,12.0,445.0
18.0,15.0,448.0
18.0,18.0,371.0
18.0,21.0,480.0
18.0,24.0,804.0
18.0,27.0,593.0
18.0,30.0,323.0
18.0,33.0,528.0
18.0,36.0,536.0
18.0,42.0,138.0
18.0,45.0,999.0
18.0,48.0,623.0
18.0,51.0,481.0
18.0,54.0,340.0
18.0,75.0,478.0
18.0,78.0,515.0
18.0,81.0,136.0
18.0,96.0,184.0
18.0,99.0,589.0
18.0,102.0,365.0
18.0,105.0,683.0
21.0,-105.0,581.0
21.0,-102.0,1968.0
21.0,-99.0,826.0
21.0,-90.0,8.0
21.0,-87.0,12.0
21.0,-78.0,64.0
21.0,-15.0,141.0
21.0,-12.0,562.0
21.0,-9.0,374.0
21.0,-6.0,282.0
21.0,-3.0,309.0
21.0,0.0,356.0
21.0,3.0,553.0
21.0,6.0,559.0
21.0,9.0,657.0
21.0,12.0,477.0
21.0,15.0,512.0
21.0,18.0,1493.0
21.0,21.0,564.0
21.0,24.0,745.0
21.0,27.0,465.0
21.0,30.0,290.0
21.0,33.0,351.0
21.0,36.0,430.0
21.0,42.0,1427.0
21.0,45.0,707.0
21.0,48.0,348.0
21.0,51.0,179.0
21.0,54.0,153.0
21.0,57.0,130.0
21.0,75.0,224.0
21.0,78.0,338.0
21.0,81.0,307.0
21.0,84.0,128.0
21.0,87.0,0.0
21.0,93.0,1.0
21.0,96.0,165.0
21.0,99.0,767.0
21.0,102.0,1019.0
21.0,105.0,357.0
24.0,-105.0,2466.0
24.0,-102.0,1857.0
24.0,-99.0,178.0
24.0,-15.0,202.0
24.0,-12.0,244.0
24.0,-9.0,248.0
