lat,lon,mean_rh_frac,mean_t_amb_c,mean_solar_w_m2,salt,hydrogel_thickness_mm,eps_abs,tau_glass,eps_abs_ir,eps_glass_ir,fin_area_ratio,vapor_gap_mm,warmup_method,resolution,mean_yield_kg_m2,mean_eta_thermal,n_periods,fidelity,cx_eps_abs_ir,cx_glazing_panes,cx_evacuated_gap,cx_condenser_air_speed_m_s,cx_blend_weights,condenser_mode,c_w_floor_mode,variant
-54.0,-72.0,0.896395,4.6081,170.13,LiCl,5.5,0.95,0.9,0.05,0.95,3.0,40.0,aitken-gpu-fixed-round,annual,0.782854,0.19076,366,simple,,,,,,ambient,hydrate,ambient_cond
-54.0,-69.0,0.777261,5.8082,228.91,LiCl,5.5,0.95,0.9,0.05,0.95,7.55,60.0,aitken-gpu-fixed-round,annual,0.989746,0.184756,366,simple,,,,,,ambient,hydrate,ambient_cond
-51.0,-75.0,0.877541,4.3905,152.53,LiCl,10.0,0.95,0.9,0.05,0.95,12.0,30.0,aitken-gpu-fixed-round,annual,0.679427,0.163737,366,simple,,,,,,ambient,hydrate,ambient_cond
-51.0,-72.0,0.750157,4.9094,285.8,LiCl,5.5,0.95,0.9,0.05,0.95,12.0,60.0,aitken-gpu-fixed-round,annual,1.206475,0.192392,366,simple,,,,,,ambient,hydrate,ambient_cond
-48.0,-75.0,0.873332,4.5918,185.1,LiCl,5.5,0.95,0.9,0.05,0.95,3.0,40.0,aitken-gpu-fixed-round,annual,0.872142,0.191051,366,simple,,,,,,ambient,hydrate,ambient_cond
-48.0,-72.0,0.791565,0.682,287.08,LiCl,5.5,0.95,0.9,0.05,0.95,5.275,60.0,aitken-gpu-fixed-round,annual,1.077404,0.169183,366,simple,,,,,,ambient,hydrate,ambient_cond
-33.0,-60.0,0.71566,18.7644,407.26,LiCl,7.75,0.95,0.9,0.05,0.95,7.55,60.0,aitken-gpu-fixed-round,annual,2.589233,0.310097,366,simple,,,,,,ambient,hydrate,ambient_cond
-33.0,-57.0,0.767087,18.0952,383.77,LiCl,7.75,0.95,0.9,0.05,0.95,12.0,60.0,aitken-gpu-fixed-round,annual,2.48777,0.310419,366,simple,,,,,,ambient,hydrate,ambient_cond
-33.0,-54.0,0.797183,17.6645,369.51,LiCl,7.75,0.95,0.9,0.05,0.95,7.55,50.0,aitken-gpu-fixed-round,annual,2.428913,0.314538,366,simple,,,,,,ambient,hydrate,ambient_cond
-33.0,21.0,0.548378,19.5423,477.23,LiCl,7.75,0.95,0.9,0.05,0.95,3.0,60.0,aitken-gpu-fixed-round,annual,2.663462,0.277712,366,simple,,,,,,ambient,hydrate,ambient_cond
-33.0,24.0,0.556394,21.4462,461.97,LiCl,7.75,0.95,0.9,0.05,0.95,9.825,60.0,aitken-gpu-fixed-round,annual,2.756056,0.296612,366,simple,,,,,,ambient,hydrate,ambient_cond
-33.0,27.0,0.667701,20.5481,410.38,LiCl,7.75,0.95,0.9,0.05,0.95,9.825,60.0,aitken-gpu-fixed-round,annual,2.683981,0.321877,366,simple,,,,,,ambient,hydrate,ambient_cond
-30.0,144.0,0.472725,22.0822,471.22,LiCl,7.75,0.95,0.9,0.05,0.95,7.55,60.0,aitken-gpu-fixed-round,annual,2.169108,0.24394,366,simple,,,,,,ambient,hydrate,ambient_cond
-30.0,147.0,0.527482,21.752,469.82,LiCl,7.75,0.95,0.9,0.05,0.95,7.55,60.0,aitken-gpu-fixed-round,annual,2.458818,0.271292,366,simple,,,,,,ambient,hydrate,ambient_cond
-30.0,150.0,0.628566,19.1124,448.81,LiCl,7.75,0.95,0.9,0.05,0.95,3.0,60.0,aitken-gpu-fixed-round,annual,2.603134,0.289687,366,simple,,,,,,ambient,hydrate,ambient_cond
-30.0,153.0,0.788959,19.3233,397.89,LiCl,5.5,0.95,0.9,0.05,0.95,5.275,40.0,aitken-gpu-fixed-round,annual,2.766165,0.34712,366,simple,,,,,,ambient,hydrate,ambient_cond
-27.0,-69.0,0.355265,-2.8483,618.51,LiCl,10.0,0.95,0.9,0.05,0.95,7.55,60.0,aitken-gpu-fixed-round,annual,0.64786,0.054441,366,simple,,,,,,ambient,hydrate,ambient_cond
-27.0,-66.0,0.311647,15.9632,560.6,LiCl,10.0,0.95,0.9,0.05,0.95,3.0,60.0,aitken-gpu-fixed-round,annual,1.84444,0.157329,366,simple,,,,,,ambient,hydrate,ambient_cond
-27.0,-63.0,0.597965,23.0794,426.7,LiCl,7.75,0.95,0.9,0.05,0.95,5.275,60.0,aitken-gpu-fixed-round,annual,2.580093,0.301008,366,simple,,,,,,ambient,hydrate,ambient_cond
-24.0,-51.0,0.737361,22.5114,442.36,LiCl,7.75,0.95,0.9,0.05,0.95,7.55,60.0,aitken-gpu-fixed-round,annual,3.042367,0.347957,366,simple,,,,,,ambient,hydrate,ambient_cond
