lat,lon,mean_rh_frac,mean_t_amb_c,mean_solar_w_m2,salt,hydrogel_thickness_mm,eps_abs,tau_glass,eps_abs_ir,eps_glass_ir,fin_area_ratio,vapor_gap_mm,warmup_method,resolution,mean_yield_kg_m2,mean_eta_thermal,n_periods
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,3.0,20.0,aitken-gpu-fixed-round,monthly,0.556370,0.152935,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,3.0,30.0,aitken-gpu-fixed-round,monthly,0.555565,0.153004,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,3.0,40.0,aitken-gpu-fixed-round,monthly,0.550069,0.151241,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,3.0,50.0,aitken-gpu-fixed-round,monthly,0.544741,0.149369,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,3.0,60.0,aitken-gpu-fixed-round,monthly,0.540065,0.147370,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,5.275,20.0,aitken-gpu-fixed-round,monthly,0.568213,0.156291,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,5.275,30.0,aitken-gpu-fixed-round,monthly,0.567161,0.156565,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,5.275,40.0,aitken-gpu-fixed-round,monthly,0.561182,0.154660,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,5.275,50.0,aitken-gpu-fixed-round,monthly,0.555496,0.152691,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,5.275,60.0,aitken-gpu-fixed-round,monthly,0.550472,0.150603,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,7.55,20.0,aitken-gpu-fixed-round,monthly,0.572850,0.157641,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,7.55,30.0,aitken-gpu-fixed-round,monthly,0.572107,0.158328,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,7.55,40.0,aitken-gpu-fixed-round,monthly,0.565486,0.156003,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,7.55,50.0,aitken-gpu-fixed-round,monthly,0.559334,0.153575,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,7.55,60.0,aitken-gpu-fixed-round,monthly,0.554544,0.151866,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,9.825,20.0,aitken-gpu-fixed-round,monthly,0.575333,0.158394,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,9.825,30.0,aitken-gpu-fixed-round,monthly,0.574432,0.159026,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,9.825,40.0,aitken-gpu-fixed-round,monthly,0.567749,0.156705,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,9.825,50.0,aitken-gpu-fixed-round,monthly,0.561548,0.154269,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,9.825,60.0,aitken-gpu-fixed-round,monthly,0.556667,0.152499,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,12.0,20.0,aitken-gpu-fixed-round,monthly,0.576904,0.158945,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,12.0,30.0,aitken-gpu-fixed-round,monthly,0.575878,0.159512,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,12.0,40.0,aitken-gpu-fixed-round,monthly,0.569092,0.157122,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,12.0,50.0,aitken-gpu-fixed-round,monthly,0.562880,0.154697,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,1.0,0.95,0.9,,,12.0,60.0,aitken-gpu-fixed-round,monthly,0.557970,0.152917,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,3.25,0.95,0.9,,,3.0,20.0,aitken-gpu-fixed-round,monthly,0.538812,0.130833,12
