lat,lon,hydrogel_thickness_mm_standard,lcow_standard_usd_m3,hydrogel_thickness_mm_simplified,lcow_simplified_usd_m3,lcow_reduction_frac,optimal_thickness_changed
-54.0,-72.0,1.0,17.850814302789306,1.0,17.799473089474642,0.0028761272423657477,False
-54.0,-69.0,3.25,15.527712360689906,3.25,15.404585649387673,0.007929481719016187,False
-51.0,-75.0,1.0,21.581796946610385,1.0,21.51972495247303,0.002876127242365889,False
-51.0,-72.0,3.25,12.700181085961221,3.25,12.599475232211898,0.00792948171901608,False
-48.0,-75.0,1.0,16.449151835365257,1.0,16.401841981657746,0.0028761272423660964,False
-48.0,-72.0,1.0,14.217713176779196,3.25,14.109918546399202,0.0075817136722132784,True
-48.0,-69.0,3.25,11.998807223866702,3.25,11.903662901335053,0.007929481719016059,False
-48.0,-66.0,3.25,11.409936891956738,3.25,11.31946200595684,0.007929481719016057,False
-45.0,-72.0,3.25,12.866532994635818,3.25,12.764508056467736,0.007929481719016085,False
-45.0,-69.0,3.25,11.737331569960972,3.25,11.644260613846935,0.007929481719016165,False
-45.0,-66.0,3.25,10.685302184950107,3.25,10.600573276612382,0.007929481719016147,False
-45.0,168.0,3.25,10.442254169852415,3.25,10.359452506307251,0.007929481719016028,False
-45.0,171.0,3.25,9.407156673269194,3.25,9.332562796400586,0.007929481719016068,False
-42.0,-72.0,3.25,10.155867664959818,3.25,10.075336897969771,0.007929481719016153,False
-42.0,-69.0,3.25,9.670847664640723,3.25,9.594162854876565,0.007929481719016099,False
-42.0,-66.0,3.25,9.790978891499122,3.25,9.713341503367708,0.007929481719016047,False
-42.0,147.0,3.25,7.914504127433845,3.25,7.851746211640281,0.007929481719016088,False
-42.0,174.0,3.25,8.118727888786252,3.25,8.054350584410454,0.007929481719016229,False
-39.0,-72.0,3.25,9.440748147944264,3.25,9.365887908091306,0.007929481719015988,False
-39.0,-69.0,3.25,10.93747511128165,3.25,10.85074660233455,0.007929481719016005,False
-39.0,-66.0,3.25,9.205381711451643,3.25,9.132387805454123,0.007929481719016092,False
-39.0,-63.0,3.25,7.696965894638145,3.25,7.635932944284722,0.007929481719016088,False
-39.0,177.0,3.25,7.472161163248942,3.25,7.412910797903417,0.007929481719016154,False
-36.0,-72.0,3.25,7.265161743467723,3.25,7.2075527762372005,0.0079294817190161,False
-36.0,-69.0,3.25,8.53352345209669,3.25,8.465857033884493,0.007929481719016166,False
-36.0,-66.0,3.25,7.4802877438539275,3.25,7.420972938936058,0.007929481719016083,False
-36.0,-63.0,3.25,6.937336989269707,3.25,6.882327502434639,0.007929481719016102,False
-36.0,-60.0,3.25,6.848052075445806,3.25,6.793750571702688,0.007929481719016137,False
-36.0,141.0,3.25,7.168160525815932,3.25,7.1113207279675015,0.007929481719016196,False
-36.0,144.0,3.25,7.294403999451102,3.25,7.236563156286336,0.007929481719016192,False
-36.0,147.0,3.25,7.378033000313161,3.25,7.319529022514881,0.007929481719016074,False
-36.0,150.0,3.25,6.733055717472765,3.25,6.6796660752479475,0.00792948171901615,False
-36.0,174.0,3.25,6.775990681883908,3.25,6.722260587643686,0.00792948171901607,False
-33.0,-69.0,3.25,8.172235415528501,3.25,8.107433824197571,0.007929481719016212,False
-33.0,-66.0,3.25,6.379041360466396,3.25,6.328458868613731,0.007929481719016057,False
-33.0,-63.0,3.25,6.274208133016761,3.25,6.224456914324702,0.007929481719016139,False
-33.0,-60.0,3.25,6.01871506624084,3.25,5.970989775151116,0.007929481719016127,False
-33.0,-57.0,3.25,6.198496975458982,3.25,6.149346107006703,0.007929481719016168,False
-33.0,-54.0,3.25,6.305838042570521,3.25,6.255836015088882,0.007929481719016113,False
-33.0,21.0,3.25,5.9801458242306085,3.25,5.932726367240321,0.007929481719016095,False
-33.0,24.0,3.25,5.7979654930471245,3.25,5.751990631662521,0.007929481719016184,False
-33.0,27.0,3.25,5.736110782272731,3.25,5.690626396686448,0.007929481719016139,False
-33.0,117.0,3.25,6.506069269809298,3.25,6.454479512471692,0.00792948171901619,False
-33.0,120.0,3.25,6.210541785781544,3.25,6.161295408226004,0.007929481719016017,False
-33.0,123.0,3.25,6.2763253195910815,3.25,6.226557312706786,0.00792948171901607,False
-33.0,135.0,3.25,6.445057910910169,3.25,6.3939519420276065,0.007929481719016113,False
-33.0,138.0,3.25,6.877212030637333,3.25,6.822679303562596,0.007929481719016118,False
-33.0,141.0,3.25,7.362376623108201,3.25,7.303996792266752,0.007929481719016172,False
-33.0,144.0,3.25,7.058100757744283,3.25,7.0021336768147755,0.007929481719016163,False
-33.0,147.0,3.25,6.657299845017546,3.25,6.60451090759847,0.007929481719016229,False
-33.0,150.0,3.25,6.601450625237168,3.25,6.549104543185361,0.007929481719016208,False
-30.0,-69.0,3.25,7.966649139693834,3.25,7.903477740978816,0.007929481719016149,False
-30.0,-66.0,3.25,6.723905173433572,3.25,6.670588090280432,0.007929481719016106,False
