lat,lon,hydrogel_thickness_mm_standard,lcow_standard_usd_m3,hydrogel_thickness_mm_simplified,lcow_simplified_usd_m3,lcow_reduction_frac,optimal_thickness_changed
-54.0,-72.0,1.0,21.825184356418315,1.0,21.762412349121163,0.0028761272423658657,False
-54.0,-69.0,1.0,18.812161553451883,1.0,18.75805538312021,0.0028761272423659025,False
-51.0,-75.0,1.0,26.974587577386906,1.0,26.897005231203998,0.0028761272423659164,False
-51.0,-72.0,3.25,15.711924439572263,3.25,15.587337021958112,0.007929481719016146,False
-48.0,-75.0,1.0,20.170831053935512,1.0,20.112817177240128,0.0028761272423658856,False
-48.0,-72.0,1.0,16.991194952450098,1.0,16.942326113767006,0.0028761272423658913,False
-48.0,-69.0,3.25,15.267256329609076,3.25,15.146194899643907,0.007929481719016128,False
-48.0,-66.0,3.25,14.42329462327322,3.25,14.308925372229993,0.007929481719016019,False
-45.0,-72.0,1.0,15.339619956828209,1.0,15.295501257982835,0.002876127242365928,False
-45.0,-69.0,3.25,15.06711182812218,3.25,14.947637440322714,0.007929481719016078,False
-45.0,-66.0,3.25,13.933500991259072,3.25,13.823015549866989,0.007929481719016179,False
-45.0,168.0,1.0,12.295357426667756,1.0,12.259994414218292,0.002876127242365812,False
-45.0,171.0,3.25,11.641424258738567,3.25,11.54911379789559,0.00792948171901605,False
-42.0,-72.0,3.25,12.30012524584014,3.25,12.202591627561642,0.007929481719016192,False
-42.0,-69.0,3.25,12.069408817568322,3.25,11.973704660990082,0.007929481719016099,False
-42.0,-66.0,3.25,12.774894334738045,3.25,12.673596043648377,0.007929481719016111,False
-42.0,147.0,3.25,9.586393613956337,3.25,9.510378481043178,0.007929481719016107,False
-42.0,174.0,3.25,10.003704606981156,3.25,9.924380414177662,0.007929481719016057,False
-39.0,-72.0,3.25,11.33265471435398,3.25,11.24279263596859,0.007929481719016031,False
-39.0,-69.0,3.25,14.20081586076531,3.25,14.088210751002258,0.00792948171901609,False
-39.0,-66.0,3.25,12.2304540102241,3.25,12.133472848734762,0.00792948171901607,False
-39.0,-63.0,3.25,9.739248329991831,3.25,9.662021138402203,0.0079294817190161,False
-39.0,177.0,3.25,9.142656844644147,3.25,9.070160314331304,0.007929481719016139,False
-36.0,-72.0,3.25,9.02943283247948,3.25,8.95783410990125,0.007929481719016118,False
-36.0,-69.0,3.25,10.85926958128161,3.25,10.77316120165497,0.007929481719016146,False
-36.0,-66.0,3.25,9.516349770935976,3.25,9.440890049395575,0.007929481719016234,False
-36.0,-63.0,3.25,8.619859773498883,3.25,8.551508753004441,0.007929481719016087,False
-36.0,-60.0,3.25,8.396220618023921,3.25,8.329642940124474,0.007929481719016172,False
-36.0,141.0,3.25,8.886043718124943,3.25,8.815581996907694,0.007929481719016074,False
-36.0,144.0,3.25,9.148303256670793,3.25,9.075761953237008,0.007929481719016028,False
-36.0,147.0,3.25,9.10137812195878,3.25,9.029208910522854,0.007929481719016114,False
-36.0,150.0,3.25,8.245102415676826,3.25,8.179723026800302,0.007929481719015988,False
-36.0,174.0,3.25,8.260575817886583,3.25,8.195073732950105,0.00792948171901606,False
-33.0,-69.0,3.25,10.462628955198168,3.25,10.379665730165076,0.007929481719016068,False
-33.0,-66.0,3.25,7.912057132948837,3.25,7.8493186205533085,0.007929481719016031,False
-33.0,-63.0,3.25,7.698279306688528,3.25,7.637235941658262,0.007929481719016045,False
-33.0,-60.0,3.25,7.343496969091146,3.25,7.285266844121088,0.00792948171901609,False
-33.0,-57.0,3.25,7.542977994905847,3.25,7.4831660887883,0.007929481719016156,False
-33.0,-54.0,3.25,7.653158990737456,3.25,7.592473406427679,0.007929481719016168,False
-33.0,21.0,3.25,7.461166863383054,3.25,7.402003677137329,0.0079294817190162,False
-33.0,24.0,3.25,7.196918726482461,3.25,7.1398508910075735,0.007929481719016123,False
-33.0,27.0,3.25,7.020585886194796,3.25,6.964916278753432,0.007929481719016066,False
-33.0,117.0,3.25,8.05022424262634,3.25,7.986390136660454,0.00792948171901621,False
-33.0,120.0,3.25,7.619360209778332,3.25,7.558942632284296,0.007929481719016088,False
-33.0,123.0,3.25,7.665566029890717,3.25,7.604782064190787,0.007929481719016146,False
-33.0,135.0,3.25,7.971385546526283,3.25,7.908176590559873,0.007929481719016125,False
-33.0,138.0,3.25,8.75070618253733,3.25,8.68131761783442,0.007929481719016019,False
-33.0,141.0,3.25,9.659896050948097,3.25,9.583298081804509,0.00792948171901603,False
-33.0,144.0,3.25,9.193909111325771,3.25,9.121006177101217,0.007929481719016248,False
-33.0,147.0,3.25,8.362496524969577,3.25,8.296186261649495,0.007929481719016088,False
-33.0,150.0,3.25,8.011590285638988,3.25,7.948062526928767,0.007929481719016113,False
-30.0,-69.0,3.25,10.000408666666262,3.25,9.921110608961243,0.007929481719015977,False
-30.0,-66.0,3.25,8.616557068547264,3.25,8.548232236791359,0.007929481719016222,False
-30.0,-63.0,3.25,7.51093760207531,3.25,7.451379759666983,0.007929481719016121,False
-30.0,-60.0,3.25,7.016235056829931,3.25,6.960599949210478,0.007929481719016062,False
-30.0,-57.0,3.25,7.106585131166237,3.25,7.050233594284022,0.007929481719016128,False
-30.0,-54.0,3.25,7.407287019405794,3.25,7.3485510723979095,0.00792948171901618,False
-30.0,-51.0,3.25,6.941402198882195,3.25,6.886360477041821,0.00792948171901606,False
-30.0,18.0,3.25,8.058983712951774,3.25,7.995080148926075,0.00792948171901601,False
-30.0,21.0,3.25,11.500208065580553,3.25,11.409017375959651,0.007929481719016042,False
-30.0,24.0,3.25,10.237404102508354,3.25,10.156226793827333,0.007929481719016116,False
-30.0,27.0,3.25,8.21132047174218,3.25,8.146208956172519,0.007929481719016012,False
-30.0,30.0,3.25,6.107351085051032,3.25,6.058922956270507,0.007929481719016095,False
-30.0,117.0,3.25,8.649683322953944,3.25,8.581095817169302,0.007929481719016094,False
-30.0,120.0,3.25,9.327607350990352,3.25,9.253644259018513,0.00792948171901619,False
-30.0,123.0,3.25,8.820415500977129,3.25,8.750474177508003,0.007929481719016205,False
-30.0,126.0,3.25,8.497210565611272,3.25,8.429832089768627,0.007929481719016095,False
-30.0,129.0,3.25,8.211297758105239,3.25,8.146186422642945,0.007929481719016213,False
-30.0,132.0,3.25,8.464814883444767,3.25,8.397693288571636,0.007929481719016081,False
-30.0,135.0,3.25,10.006766587013638,3.25,9.927418114295453,0.007929481719016113,False
-30.0,138.0,3.25,10.071449294447785,3.25,9.991587921383465,0.007929481719015976,False
-30.0,141.0,3.25,10.21317848719578,3.25,10.132193275088511,0.007929481719016225,False
-30.0,144.0,3.25,9.434591153947986,3.25,9.359779735866363,0.007929481719016258,False
-30.0,147.0,3.25,8.385372254601792,3.25,8.318880598601782,0.007929481719016232,False
-30.0,150.0,3.25,7.594152962670619,3.25,7.533935265581711,0.007929481719016033,False
-30.0,153.0,3.25,6.613207111050547,3.25,6.5607678061594035,0.007929481719016182,False
-27.0,-69.0,1.0,22.39907663337533,1.0,22.334654038866237,0.002876127242365935,False
-27.0,-66.0,3.25,11.231106768713262,3.25,11.142049912906431,0.007929481719016206,False
-27.0,-63.0,3.25,7.707597824838461,3.25,7.646480568788877,0.007929481719016057,False
-27.0,-60.0,3.25,6.731779248600832,3.25,6.678399728112599,0.00792948171901615,False
-27.0,-57.0,3.25,6.520302636950152,3.25,6.468600016388003,0.007929481719016133,False
-27.0,-54.0,3.25,6.551960683323873,3.25,6.500007030861744,0.007929481719016102,False
-27.0,-51.0,3.25,6.374178745463481,3.25,6.323634811627587,0.007929481719016182,False
-27.0,18.0,3.25,11.233877929524786,3.25,11.144799099848962,0.007929481719015974,False
-27.0,21.0,3.25,12.340530912813836,3.25,12.242676898537727,0.007929481719015993,False
-27.0,24.0,3.25,9.458869578928596,3.25,9.383865645519924,0.007929481719016102,False
-27.0,27.0,3.25,7.894714288892071,3.25,7.832113296261446,0.007929481719016064,False
-27.0,30.0,3.25,6.446359536785102,3.25,6.395243246683959,0.007929481719016107,False
