lat,lon,hydrogel_thickness_mm,vapor_gap_mm,fin_area_ratio,insulation_gap_mm,tilt_deg,salt,salt_loading,case,warmup_method,resolution,best_combined_lcow_usd_m3,n_evals,stopped_reason,wall_time_s,improvement_vs_baseline_frac,flagged_as_surrogate_artifact,max_neighbor_improvement_frac,cv_rmse,standardized_residual_mean,standardized_residual_std,msll_gp_minus_trivial,n_hyperparameter_warnings,n_de_calls,frac_de_hit_maxiter,frac_de_not_success
-54.0,-72.0,1.0000000293204572,28.436859213312488,11.999999030083801,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,28.138124,39,stalled,1109.0,0.22430595871480796,False,-0.000067,1.5433762465474825,0.10119871205034692,2.1764367109546607,-2.19354514526034,4,15,0.0,0.0
-54.0,-69.0,1.7253738732516517,49.61307389028469,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,23.864191,33,stalled,1059.4,0.14139068732266347,False,-0.003846,0.6569200555181149,0.3663144712927647,1.8206768557655935,-2.676438282275819,1,9,0.0,0.0
-51.0,-75.0,1.0,29.004997651048367,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,34.023742,36,stalled,897.8,0.22815763271838763,False,-0.000230,6.268970184468086,0.6258410852957174,9.595127870608756,42.85743393308164,3,12,0.0,0.0
-51.0,-72.0,1.7356418157944373,59.99999927033017,11.999999752667751,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,19.988434,33,stalled,1063.8,0.11681017151615715,False,-0.001519,0.2021010687516298,0.09296817895217224,1.807996018114008,-3.730515427599417,3,9,0.0,0.0
-48.0,-75.0,1.1521374886751137,31.103481290821442,4.916147117998203,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,26.188367,33,stalled,773.6,0.2132695715079617,False,0.000368,2.862536084776703,0.37273492138782865,6.167405322538126,15.343234732701974,2,9,0.0,0.0
-48.0,-72.0,1.4523248021297699,59.9999997263983,11.9999998211099,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,21.898567,33,stalled,1091.7,0.1380667435086553,False,-0.000377,0.1935182963417294,0.16204692276608315,1.6379199265285984,-4.03160493075667,3,9,0.0,0.0
-48.0,-69.0,1.9939248165622543,59.999917957552164,11.999999982948292,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,19.074864,33,stalled,884.3,0.10908329499906254,False,-0.005118,0.22318201199517457,0.07376170004076421,1.3918653145160427,-3.9811396097818257,3,9,0.0,0.0
-48.0,-66.0,1.9577295486415676,57.02637467076395,11.999999987787275,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,18.455221,33,stalled,673.0,0.08612142184806053,False,-0.000258,0.41150245733823887,0.4268935106279335,2.7026867597512476,-0.6877271161090281,3,9,0.0,0.0
-45.0,-72.0,1.6440854696097937,45.715774868818535,11.999999968994938,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,19.989502,33,stalled,845.4,0.1272791460223855,False,-0.001784,0.2386469002118714,-0.08359651896448604,2.3694956303616923,-2.052209667228163,2,9,0.0,0.0
-45.0,-69.0,1.9878885396840702,59.999999602995,11.99999999262508,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,18.599836,33,stalled,888.5,0.11627837809463333,False,-0.002958,0.21771786330548104,0.18491040746868226,1.2923595573318898,-4.355798916271955,4,9,0.0,0.0
-45.0,-66.0,2.215768595436172,59.999999962227896,11.459450254771221,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,17.398986,36,stalled,883.5,0.0822159082116685,False,-0.003196,0.2673989834992652,0.2565731923122164,1.6603718555044844,-3.3074250582460625,4,12,0.0,0.0
-45.0,168.0,1.645785985812627,57.82512263357607,11.999999292254552,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,16.050734,33,stalled,322.4,0.14060087856365575,False,-0.003913,0.8037085902451521,0.3782711977716673,4.110427061646643,3.5336658533933343,3,9,0.0,0.0
-45.0,171.0,2.016818714414479,59.9999986545704,11.999999961566463,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,15.004093,33,stalled,545.8,0.10222160355439969,False,-0.002598,0.22859493842344605,0.07339977517421932,3.2137921565609986,0.3025910126164466,3,9,0.0,0.0
-42.0,-72.0,1.8519365729274193,59.99999982555684,11.999999681201372,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,15.861317,33,stalled,728.3,0.12048980243096356,False,-0.004907,0.37861358664289463,-0.08856554975803219,2.08228301579212,-2.264564132009687,2,9,0.0,0.0
-42.0,-69.0,2.0965330625833043,59.999999983614885,11.999999990392448,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,15.362515,33,stalled,709.8,0.11187894075918754,False,-0.004413,0.13074063669844152,-0.03334062483955908,1.5004159916454907,-3.6386589666920433,3,9,0.0,0.0
