segment,annual_usd_per_m2,lcow_usd_per_m3
CAPEX: aluminum heater,0.803228,1.327475
CAPEX: condenser,2.007733,3.318133
CAPEX: acrylic enclosure,0.399933,0.660961
CAPEX: insulation,0.134431,0.222172
CAPEX: clamps,0.233239,0.385468
CAPEX: fixtures,0.067216,0.111086
Maintenance,2.712000,4.482058
Hydrogel: salt,0.663303,1.096225
Hydrogel: acrylamide (AM),0.285941,0.472567
Hydrogel: APS,0.000223,0.000368
Hydrogel: MBA,0.000854,0.001412
Hydrogel: TEMED,0.008533,0.014102
Hydrogel: water,0.026032,0.043023
Electricity (active heat),0.000000,0.000000
