Country,Utility,6M3,15M3,50M3
Afghanistan,AUWSSC,2.83,7.07,23.58
Albania,Bajram Curri,3.7,7.63,22.88
Albania,Bashkia Himare,5.69,11,31.65
Albania,Bashkia Puke,2.98,6.02,17.8
Albania,Berat Kucove,4.31,9.15,27.99
Albania,Bilisht,3.06,6.82,21.43
Albania,Bulgarec,3.53,7.2,21.5
Albania,Bulqize,2.25,3.96,10.59
Albania,Corovode,1.56,3.9,12.99
Albania,Delvine,5.71,11.5,34.01
Albania,Devoll,3.06,6.82,21.43
Albania,Diber,1.52,3.81,12.7
Albania,Drenove,2.88,5.59,16.13
Albania,Durres,6.02,12.67,38.54
Albania,Elbasan-rural,3.25,6.44,18.86
Albania,Elber,2.52,6.29,20.98
Albania,Erseke,2.98,6.08,18.14
Albania,Fier,5.95,11.4,32.56
Albania,Fush-Kruje,2.01,5.02,16.73
Albania,Gjirokaster,4.17,8.76,26.61
Albania,Gjirokaster - rural,1.59,3.98,13.26
Albania,Gramsh,2.31,4.96,15.24
Albania,Kavaje,2.42,6.05,20.16
Albania,Komuna Allkaj,5.01,10.94,33.98
Albania,Komuna Antigone,2.55,5.05,14.75
Albania,Komuna Kozare,4.42,9.39,28.74
Albania,Komuna Qukes,2.8,5.35,15.29
Albania,Korce,6.32,13.48,41.33
Albania,Korce-rural,2.55,5.69,17.9
Albania,Kraste .,2.35,5.86,19.55
Albania,Kruje,3.33,6.71,19.85
Albania,Kukes,1.72,4.29,14.31
Albania,Kurbin,2.61,5.68,17.61
Albania,Lezhe,6.35,12.4,35.94
Albania,Librazhd,3.9,8.09,24.39
Albania,Lushnje,5.01,10.94,33.98
Albania,Lushnje-rural,3.97,9.94,33.12
Albania,Malsi e Madhe,5.18,10.17,29.57
Albania,Mirdite,1.98,4.95,16.49
Albania,Mollaj,3.53,7.2,21.5
Albania,Novosele,2.18,5.44,18.14
Albania,Orikum,2.84,5.4,15.34
Albania,Patos,7.02,14.15,41.87
Albania,Peqin,4.45,9.4,28.65
Albania,Permet,3.79,7.8,23.41
Albania,Peshkopi,1.86,4.65,15.49
Albania,Pogradec,6.29,12.36,35.94
Albania,Polican,4.44,9.42,28.83
Albania,Puke,3.59,7.25,21.45
Albania,Roshnik,3.64,7.5,22.5
Albania,Roskovec,4.43,9.46,29.03
Albania,Rrogozhine,3.77,8.58,27.31
Albania,Rubik,2.46,6.14,20.47
Albania,Sarande,6.47,12.71,36.98
Albania,Selenice,1.91,4.77,15.91
Albania,Shkoder,3.74,7.69,23.08
Albania,Shkoder-rural,3.3,8.24,27.48
Albania,Skrapar,3.43,6.91,20.45
Albania,Tepelene,3.34,6.78,20.17
Albania,Tirane,6.52,12.99,38.13
Albania,Tropoje,3.05,5.99,17.43
Albania,Ura-Vajgurore,2.88,7.19,23.98
Albania,Vau Dejes,3.71,7.91,24.21
Albania,Vlore,3.97,8.31,25.21
Albania,Vore,6.34,12.63,37.09
Albania,Voskopoje,2.88,5.59,16.13
Algeria,ADE,0.8,2,11.74
Algeria,ADE - Chlef,0.78,1.96,11.43
Algeria,ADE - Ouargia,0.76,1.89,10.98
Algeria,EPEAL,0.8,2,11.74
American Samoa,"American Samoa Power and Water Authority, ASPA",20.77,29.12,63.18
Andorra,Comú d'Andorra la Vella,,,
Angola,Bengo,1.62,3.81,12.94
Angola,Benguela,2.02,6.39,21.43
Angola,Bie,1.84,4.52,14.55
Angola,Cabinda,1.87,4.79,15.86
Angola,Cuando Cubango,1.56,3.7,11.57
Angola,Cuanza Norte,1.92,5.54,19.89
Angola,Cuanza Sul,1.88,4.99,16.97
Angola,Cunene,1.87,4.78,15.78
Angola,EPAL,2.38,7.43,26.03
Angola,Huambo,1.55,3.47,10.79
Angola,Huila,1.88,5.36,19.99
Angola,Lunda Norte,1.87,4.78,15.78
Angola,Lunda Sul,1.87,4.78,15.78
Angola,Malanje,1.87,4.82,16.03
Angola,Moxico,1.55,3.44,10.62
Angola,Namibe,1.64,3.62,11.77
Angola,Uige,1.91,5.39,19.04
Angola,Zaire,1.65,4.38,14.83
Anguilla,Anguilla Water Authority,30.36,105.91,492.51
Antigua and Barbuda,APUA,20.35,38.73,208.49
Argentina,ABSA,3.17,6.53,33.77
Argentina,Aguas Cordobesas,17.44,17.44,27.89
Argentina,Aguas Provinciales de Santa Fe SA,0,4.91,20.36
Argentina,Aguas Rionegrinas SA,3.17,3.17,15.11
Argentina,"Aguas de Catamarca, SAPEM",4.47,4.47,8.94
Argentina,Aguas de Corrientes SA,4.04,6.06,20.19
Argentina,Aguas de los Andes SA,3.34,4.59,6.77
Argentina,AySA,3.71,11.69,42.72
Argentina,CLERYSA,5.01,3.21,52.54
Argentina,COOPI,2.02,12.24,48.86
Argentina,DH de Santa Rosa,6.59,13.72,53.21
Argentina,Mendoza,3.18,4.15,7.96
Argentina,SAMEEP,18.02,22.93,96.61
Argentina,SCPL de Comodoro Rivadavia,8.51,10.64,18.92
Argentina,Salta,7.7,10.76,26.51
Armenia,AWSC,1.86,4.66,15.53
Armenia,Lori,1.86,4.66,15.53
Armenia,Nor Akunk,1.86,4.66,15.53
Armenia,Shirak water company,1.86,4.66,15.53
Armenia,Yerevan Djur,1.86,4.66,15.53
Aruba,WEB Aruba,15.77,55.46,341.67
Australia,Actew,20.91,35.05,142.88
Australia,Albury City Council,14.85,24.24,95.57
Australia,Aqwest - Bunbury Water Board (water supply),19.59,27.96,93.13
Australia,Ballina Shire Council,23.28,38.91,117.78
Australia,Barwon Water,16.97,30.79,84.55
Australia,Bathurst Regional Council,20.03,33.89,110.24
Australia,Bega Valley Shire Council,28.49,48.84,127.95
Australia,Ben Lomond Water,25.8,32.86,60.3
Australia,"Ben Lomond Water, Tasmania",25.87,32.95,60.47
Australia,Brisbane,31.18,57.01,173.68
Australia,Busselton Water (water supply),17.85,25.7,70.59
Australia,Byron Shire Council,23.98,42.46,114.34
Australia,Cairns Water and Waste (Cairns Regional Council),22.74,31.91,67.61
Australia,Central Gippsland Water,19.48,33.36,87.33
Australia,Central Highlands Water,21.16,34.18,94.48
Australia,City West Water,23.25,40.91,119.09
Australia,Clarence Valley Council,10.27,25.68,96.01
Australia,Coffs Harbour City Council,22.63,43.22,146.18
Australia,Coliban Water,22.77,36.95,92.13
Australia,Cradle Mountain Water,25.8,32.86,60.3
Australia,Dubbo City Council,26.04,39.81,93.35
Australia,East Gippsland Water,22.73,37.4,94.46
Australia,Essential Water,29.91,42.62,92.01
Australia,Eurobodalla Shire Council,36.8,60.99,155.05
Australia,Fitzroy River Water (Rockhampton Regional Council),30.1,35.84,67.18
Australia,GWMWater,32.67,43.57,85.95
Australia,Gold Coast City Council,32.34,60.14,168.24
Australia,Goldenfields Water (Reticulation),22.93,39.05,101.76
Australia,Gosford City,18.47,32.79,88.51
Australia,Goulburn Valley Water,14.19,21.24,48.65
Australia,Hunter Water Corporation,12.62,29.18,93.58
Australia,Kempsey Shire Council,33.54,52.14,151.44
Australia,Logan City Council,35.2,61.98,166.11
Australia,Lower Murray Water,14.31,17.21,50.09
Australia,MidCoast Water,33.2,57.83,168.78
Australia,North East Water,22.6,38.27,99.18
Australia,Orange City Council,27.44,43.69,118.16
Australia,Port Macquarie Hastings Council,24.51,46.28,197.45
Australia,Power and Water - Alice Springs,26.56,39.34,89.04
Australia,Power and Water - Darwin,26.56,39.34,89.04
Australia,Queanbeyan City Council,34.35,60.9,164.13
Australia,Queensland Urban Utilities,31.18,57.01,173.68
Australia,Riverina Water,15.43,24.8,65.58
Australia,SA Water - Adelaide,24.65,46.2,124.35
Australia,SA Water - Mount Gambier,24.65,46.2,124.35
Australia,SA Water - Whyalla,24.65,38.56,108.83
Australia,Shoalhaven City Council,12.79,24.58,70.41
Australia,South East Water Ltd,16.04,33.75,117.35
Australia,South Gippsland Water,31.76,48.42,113.23
Australia,Southern Water,25.8,32.86,60.3
Australia,Sydney Water Corporation,13.58,29.09,89.38
Australia,Toowoomba Regional Council,31.94,58.98,176.68
Australia,Townsville Water,51.63,51.63,51.63
Australia,Tweed Shire Council,24.52,44.99,159.73
Australia,Unitywater,34.73,59.34,166.52
Australia,Wagga Wagga Council,15.43,24.8,65.58
Australia,Wannon Water,16.1,26.06,99.33
Australia,Water Corporation - Albany,23.71,42.08,349.65
Australia,Water Corporation - Australind/Eaton,23.71,42.08,150.21
Australia,Water Corporation - Bunbury (sewerage),22.69,40.25,143.73
Australia,Water Corporation - Geraldton,23.71,42.08,150.21
Australia,Water Corporation - Kalgoorlie-Boulder (water supply),23.71,42.08,349.65
Australia,Water Corporation - Mandurah,23.71,42.08,150.21
Australia,Water Corporation - Perth,23.71,42.08,179.47
Australia,Water and Waste Services (Mackay Regional Council),30.09,41.94,103.86
Australia,Western Water,20.52,34.28,119.87
Australia,Westernport Water,32.17,45.25,96.15
Australia,Wide Bay Water,38.05,50.27,97.79
Australia,Wingecarribee Shire Council,17.96,30.1,98.03
Australia,Yarra Valley Water,14.81,30.98,131.42
