salt,quantity,source,molality_mol_per_kg,mass_pct_salt,temperature_C,value
LiBr,osmotic,PT90,2,14.8,30,1.4451
LiBr,osmotic,PT90,2,14.8,40,1.4002
LiBr,osmotic,PT90,2,14.8,50,1.328
LiBr,osmotic,PT90,2,14.8,60,1.1939
LiBr,osmotic,PT90,2,14.8,70,1.0708
LiBr,osmotic,PT90,3.494,23.28,30,1.5437
LiBr,osmotic,PT90,3.494,23.28,40,1.5225
LiBr,osmotic,PT90,3.494,23.28,50,1.4923
LiBr,osmotic,PT90,3.494,23.28,60,1.451
LiBr,osmotic,PT90,3.494,23.28,70,1.3889
LiBr,osmotic,PT90,5.092,30.66,30,1.9191
LiBr,osmotic,PT90,5.092,30.66,40,1.8728
LiBr,osmotic,PT90,5.092,30.66,50,1.8247
LiBr,osmotic,PT90,5.092,30.66,60,1.7609
LiBr,osmotic,PT90,5.092,30.66,70,1.713
LiBr,osmotic,PT90,7.026,37.89,30,2.1959
LiBr,osmotic,PT90,7.026,37.89,40,2.1478
LiBr,osmotic,PT90,7.026,37.89,50,2.1221
LiBr,osmotic,PT90,7.026,37.89,60,2.0768
LiBr,osmotic,PT90,7.026,37.89,70,2.0388
LiBr,osmotic,PT90,9.192,44.39,30,2.6861
LiBr,osmotic,PT90,9.192,44.39,40,2.6241
LiBr,osmotic,PT90,9.192,44.39,50,2.5625
LiBr,osmotic,PT90,9.192,44.39,60,2.5064
LiBr,osmotic,PT90,9.192,44.39,70,2.4592
LiBr,osmotic,PT90,11.318,49.57,30,3.1333
LiBr,osmotic,PT90,11.318,49.57,40,3.0542
LiBr,osmotic,PT90,11.318,49.57,50,2.9874
LiBr,osmotic,PT90,11.318,49.57,60,2.9256
LiBr,osmotic,PT90,11.318,49.57,70,2.8607
LiBr,osmotic,PT90,13.777,54.47,30,3.6256
LiBr,osmotic,PT90,13.777,54.47,40,3.5093
LiBr,osmotic,PT90,13.777,54.47,50,3.4315
LiBr,osmotic,PT90,13.777,54.47,60,3.3186
LiBr,osmotic,PT90,13.777,54.47,70,3.2257
LiBr,osmotic,PT90,15.971,58.11,30,4.1438
LiBr,osmotic,PT90,15.971,58.11,40,3.9926
LiBr,osmotic,PT90,15.971,58.11,50,3.8655
LiBr,osmotic,PT90,15.971,58.11,60,3.7361
LiBr,osmotic,PT90,15.971,58.11,70,3.6101
LiBr,gamma_w,PT90,2,14.8,30,0.9336
LiBr,gamma_w,PT90,2,14.8,40,0.9366
LiBr,gamma_w,PT90,2,14.8,50,0.9415
LiBr,gamma_w,PT90,2,14.8,60,0.9506
LiBr,gamma_w,PT90,2,14.8,70,0.9591
LiBr,gamma_w,PT90,3.494,23.28,30,0.8752
LiBr,gamma_w,PT90,3.494,23.28,40,0.8775
LiBr,gamma_w,PT90,3.494,23.28,50,0.8809
LiBr,gamma_w,PT90,3.494,23.28,60,0.8855
LiBr,gamma_w,PT90,3.494,23.28,70,0.8924
LiBr,gamma_w,PT90,5.092,30.66,30,0.7677
LiBr,gamma_w,PT90,5.092,30.66,40,0.7743
LiBr,gamma_w,PT90,5.092,30.66,50,0.7811
LiBr,gamma_w,PT90,5.092,30.66,60,0.7903
LiBr,gamma_w,PT90,5.092,30.66,70,0.7973
LiBr,gamma_w,PT90,7.026,37.89,30,0.6462
LiBr,gamma_w,PT90,7.026,37.89,40,0.6541
LiBr,gamma_w,PT90,7.026,37.89,50,0.6583
LiBr,gamma_w,PT90,7.026,37.89,60,0.6659
LiBr,gamma_w,PT90,7.026,37.89,70,0.6724
LiBr,gamma_w,PT90,9.192,44.39,30,0.4789
LiBr,gamma_w,PT90,9.192,44.39,40,0.4888
LiBr,gamma_w,PT90,9.192,44.39,50,0.4988
LiBr,gamma_w,PT90,9.192,44.39,60,0.5082
LiBr,gamma_w,PT90,9.192,44.39,70,0.5162
LiBr,gamma_w,PT90,11.318,49.57,30,0.3355
LiBr,gamma_w,PT90,11.318,49.57,40,0.3465
LiBr,gamma_w,PT90,11.318,49.57,50,0.3561
LiBr,gamma_w,PT90,11.318,49.57,60,0.3651
LiBr,gamma_w,PT90,11.318,49.57,70,0.3749
LiBr,gamma_w,PT90,13.777,54.47,30,0.2064
LiBr,gamma_w,PT90,13.777,54.47,40,0.2187
LiBr,gamma_w,PT90,13.777,54.47,50,0.2273
LiBr,gamma_w,PT90,13.777,54.47,60,0.2404
LiBr,gamma_w,PT90,13.777,54.47,70,0.2717
LiBr,gamma_w,PT90,15.971,58.11,30,0.1186
LiBr,gamma_w,PT90,15.971,58.11,40,0.1294
LiBr,gamma_w,PT90,15.971,58.11,50,0.1393
LiBr,gamma_w,PT90,15.971,58.11,60,0.15
LiBr,gamma_w,PT90,15.971,58.11,70,0.1613
