T_K,x1_LiBr,P_kPa,gamma2_published,gamma2_recomputed,gamma2_deviation,m_LiBr_mol_per_kg
338.15,0.0,25.1,1.0,1.0,0.0,0.0
338.15,0.002,24.8,0.99,0.99,0.0,0.1112
338.15,0.004,24.5,0.98,0.98,0.0,0.2229
338.15,0.006,24.3,0.974,0.974,-0.0,0.3351
338.15,0.012,24.0,0.968,0.9678,-0.0002,0.6742
338.15,0.019,23.7,0.963,0.9625,-0.0005,1.0751
338.15,0.026,23.2,0.949,0.949,-0.0,1.4817
338.15,0.036,22.5,0.93,0.9299,-0.0001,2.0729
338.15,0.045,21.8,0.909,0.9095,0.0005,2.6156
338.15,0.061,20.5,0.87,0.8698,-0.0002,3.606
338.15,0.084,18.1,0.787,0.7872,0.0002,5.0903
338.15,0.1,16.3,0.722,0.7216,-0.0004,6.1676
338.15,0.119,14.0,0.633,0.6331,0.0001,7.4977
338.15,0.146,10.5,0.49,0.4898,-0.0002,9.4897
338.15,0.165,7.56,0.361,0.3607,-0.0003,10.9687
338.15,0.176,6.92,0.335,0.3346,-0.0004,11.8562
338.15,0.195,5.18,0.256,0.2564,0.0004,13.4461
338.15,0.2,4.82,0.24,0.24,0.0,13.8771
338.15,0.22,3.54,0.181,0.1808,-0.0002,15.6562
348.15,0.0,38.6,1.0,1.0,0.0,0.0
348.15,0.002,38.2,0.992,0.9916,-0.0004,0.1112
348.15,0.004,37.9,0.986,0.9858,-0.0002,0.2229
348.15,0.006,37.7,0.983,0.9826,-0.0004,0.3351
348.15,0.012,37.1,0.973,0.9728,-0.0002,0.6742
348.15,0.019,36.5,0.964,0.9639,-0.0001,1.0751
348.15,0.026,35.9,0.955,0.9549,-0.0001,1.4817
348.15,0.036,34.8,0.935,0.9352,0.0002,2.0729
348.15,0.044,33.9,0.919,0.9187,-0.0003,2.5548
348.15,0.06,31.9,0.879,0.8792,0.0002,3.5431
348.15,0.082,28.1,0.793,0.793,0.0,4.9583
348.15,0.101,25.2,0.726,0.7262,0.0002,6.2362
348.15,0.119,21.7,0.638,0.6381,0.0001,7.4977
348.15,0.148,16.3,0.496,0.4956,-0.0004,9.6423
348.15,0.168,12.3,0.383,0.383,-0.0,11.2084
348.15,0.177,11.0,0.346,0.3463,0.0003,11.938
348.15,0.197,8.57,0.276,0.2765,0.0005,13.6179
348.15,0.2,8.02,0.26,0.2597,-0.0003,13.8771
348.15,0.219,6.01,0.199,0.1994,0.0004,15.5651
358.15,0.0,57.8,1.0,1.0,0.0,0.0
358.15,0.002,57.2,0.992,0.9916,-0.0004,0.1112
358.15,0.004,57.0,0.99,0.9901,0.0001,0.2229
358.15,0.006,56.7,0.987,0.9869,-0.0001,0.3351
358.15,0.012,55.8,0.977,0.9771,0.0001,0.6742
358.15,0.019,55.1,0.972,0.9718,-0.0002,1.0751
358.15,0.026,53.9,0.957,0.9574,0.0004,1.4817
358.15,0.036,52.4,0.94,0.9404,0.0004,2.0729
358.15,0.044,51.0,0.923,0.923,-0.0,2.5548
358.15,0.06,47.7,0.878,0.8779,-0.0001,3.5431
358.15,0.084,42.2,0.797,0.7971,0.0001,5.0903
358.15,0.099,38.2,0.734,0.7335,-0.0005,6.0991
358.15,0.119,32.9,0.646,0.6461,0.0001,7.4977
358.15,0.148,24.9,0.506,0.5056,-0.0004,9.6423
358.15,0.17,18.9,0.394,0.394,-0.0,11.3692
358.15,0.181,16.7,0.353,0.3528,-0.0002,12.2674
358.15,0.199,13.1,0.283,0.283,-0.0,13.7905
358.15,0.202,12.5,0.271,0.271,0.0,14.051
358.15,0.222,9.39,0.209,0.2088,-0.0002,15.8392
358.15,0.24,7.1,0.162,0.1616,-0.0004,17.529
368.15,0.0,84.4,1.0,1.0,0.0,0.0
368.15,0.002,83.8,0.995,0.9949,-0.0001,0.1112
368.15,0.004,83.3,0.991,0.9909,-0.0001,0.2229
368.15,0.006,83.0,0.989,0.9893,0.0003,0.3351
368.15,0.012,81.9,0.982,0.9822,0.0002,0.6742
368.15,0.018,80.5,0.971,0.9713,0.0003,1.0175
368.15,0.024,79.1,0.96,0.9602,0.0002,1.365
368.15,0.035,76.6,0.94,0.9405,0.0005,2.0133
368.15,0.042,74.7,0.923,0.9239,0.0009,2.4336
368.15,0.06,70.0,0.882,0.8823,0.0003,3.5431
368.15,0.083,62.3,0.805,0.805,-0.0,5.0242
368.15,0.096,56.7,0.742,0.7431,0.0011,5.8947
368.15,0.115,48.7,0.652,0.652,-0.0,7.213
368.15,0.147,36.9,0.513,0.5125,-0.0005,9.5659
368.15,0.168,29.4,0.419,0.4187,-0.0003,11.2084
368.15,0.181,24.8,0.359,0.3588,-0.0002,12.2674
368.15,0.199,19.9,0.294,0.2944,0.0004,13.7905
368.15,0.203,18.8,0.279,0.2795,0.0005,14.1383
368.15,0.221,14.5,0.221,0.2205,-0.0005,15.7476
368.15,0.24,11.2,0.175,0.1746,-0.0004,17.529
