Station,Date,Time,Wind Spd (mph),Temp (°F),RH (%),Solar Rad (W/m2),Pressure (mb)
Stanford Met Tower,8/25/26,1030,2.6,68.3,70,576,1019.3
Stanford Met Tower,8/25/26,1015,0.9,67.6,75,559,1019.3
Stanford Met Tower,8/25/26,1000,2.2,66.6,74,525,1019.4
Stanford Met Tower,8/25/26,0945,0.9,65.6,78,524,1019.6
Stanford Met Tower,8/25/26,0930,0.6,65.4,79,455,1019.7
Stanford Met Tower,8/25/26,0915,2.2,63.4,84,268,1019.9
Stanford Met Tower,8/25/26,0900,2.4,62.5,85,188,1019.9
Stanford Met Tower,8/25/26,0845,0.3,62.3,86,161,1020
Stanford Met Tower,8/25/26,0830,0,62,86,115,1020.1
Stanford Met Tower,8/25/26,0815,0.6,61.8,88,86,1020.1
Stanford Met Tower,8/25/26,0800,0.1,61.8,87,84,1020.1
Stanford Met Tower,8/25/26,0745,0,61.4,88,39,1020.1
Stanford Met Tower,8/25/26,0730,0,61.1,88,26,1019.9
Stanford Met Tower,8/25/26,0715,0,61,88,14,1019.9
Stanford Met Tower,8/25/26,0700,0.1,60.8,88,6,1019.8
Stanford Met Tower,8/25/26,0645,0.5,60.8,89,2,1019.7
Stanford Met Tower,8/25/26,0630,1.1,60.7,89,0,1019.5
Stanford Met Tower,8/25/26,0615,1.3,60.7,89,0,1019.3
Stanford Met Tower,8/25/26,0600,0.2,60.7,88,0,1019.2
Stanford Met Tower,8/25/26,0545,1.5,60.9,89,0,1019.2
Stanford Met Tower,8/25/26,0530,0.5,61.4,88,0,1019.1
Stanford Met Tower,8/25/26,0515,0.1,61.4,89,0,1019.2
Stanford Met Tower,8/25/26,0500,0.2,61.3,89,0,1019
Stanford Met Tower,8/25/26,0445,0.5,61.4,88,0,1019
Stanford Met Tower,8/25/26,0430,0.7,61.4,88,0,1019.1
Stanford Met Tower,8/25/26,0415,1.4,61.3,88,0,1019.1
Stanford Met Tower,8/25/26,0400,1.9,61.2,88,0,1019.2
Stanford Met Tower,8/25/26,0345,4,61.2,88,0,1019.1
Stanford Met Tower,8/25/26,0330,3.1,61,89,0,1019.1
Stanford Met Tower,8/25/26,0315,2.8,60.9,89,0,1019.3
Stanford Met Tower,8/25/26,0300,1.8,60.8,88,0,1019.2
Stanford Met Tower,8/25/26,0245,1.8,60.8,88,0,1019.2
Stanford Met Tower,8/25/26,0230,2.6,60.8,88,0,1019.3
Stanford Met Tower,8/25/26,0215,4.5,60.7,88,0,1019.3
Stanford Met Tower,8/25/26,0200,1.4,59.9,91,0,1019.3
Stanford Met Tower,8/25/26,0145,0,59,92,0,1019.5
Stanford Met Tower,8/25/26,0130,0,58.7,92,0,1019.6
Stanford Met Tower,8/25/26,0115,0,58.4,92,0,1019.6
Stanford Met Tower,8/25/26,0100,1.1,58.3,92,0,1019.6
Stanford Met Tower,8/25/26,0045,2.7,58,91,0,1019.5
Stanford Met Tower,8/25/26,0030,0.1,58.2,91,0,1019.4
Stanford Met Tower,8/25/26,0015,0,58.8,90,0,1019.2
Stanford Met Tower,8/25/26,0000,0,59.5,88,0,1019.2
Stanford Met Tower,8/24/26,2345,0,59.6,88,0,1019.2
Stanford Met Tower,8/24/26,2330,0.2,59.9,88,0,1019
