sweep_param,param_label,baseline_metric,decrease_sensitivity,increase_sensitivity,total_span
c_vac_max,Vacuum pump c_max (kg/s/Pa/m²),-10224.80444197922,-0.02036610299162339,-0.0002688995172504113,0.020635002508873804
hydrogel_lifetime_years,Hydrogel lifetime (yr),-10224.80444197922,-0.021389770413968615,-0.005347442603492598,0.026737213017461212
device_lifetime_years,Device lifetime (yr),-10224.80444197922,0.09348810772584557,0.043303082711970795,0.13679119043781635
discount_rate,Discount rate,-10224.80444197922,-0.11346408663990637,-0.07064710713721269,0.18411119377711904
m_dot_wh_kg_s_m2,WH mass flow (kg/s/m²),-10224.80444197922,-0.19164575058597672,-0.05666554450236885,0.24831129508834557
ua_wh_desorber_w_k,WH-to-desorber UA_eq (W/K),-10224.80444197922,-0.319779410503703,-0.18854510679190625,0.5083245172956092
utilization_factor,Utilization factor,-10417.397539880809,-0.31428988399385427,-0.3142898839938562,0.6285797679877105
water_price_usd_per_m3,Water price (USD/m³),-8838.134137087778,-0.5491369549092691,-0.549136954909269,1.0982739098185381
hydrogel_thickness_mm,Hydrogel thickness (mm),-10224.80444197922,1.0580800446032306,0.1017902758065708,1.1598703204098013
h_amb_w_m2_k,h_amb (W/m²K),-10224.80444197922,-0.36110574362152975,-0.9744428020842061,1.335548545705736
rh_desorber_switch,Desorber RH switch,-10224.80444197922,-0.7106749347019776,-8.430237973339585,9.140912908041562
t_wh_in_c,Waste-heat inlet T (°C),-10224.80444197922,-2.2153062112084125,-14.8839574712407,17.099263682449113
