sweep_param,param_label,baseline_metric,decrease_sensitivity,increase_sensitivity,total_span
hydrogel_lifetime_years,Hydrogel lifetime (yr),19.7472754060385,-0.015973891520834605,-0.003993472880208651,0.019967364401043255
c_vac_max,Vacuum pump c_max (kg/s/Pa/m²),19.7472754060385,-0.0638261963430832,-0.0007924785271868225,0.06461867487027002
device_lifetime_years,Device lifetime (yr),19.7472754060385,-0.5896705379477386,-0.16279714215078858,0.7524676800985272
discount_rate,Discount rate,19.7472754060385,0.35335348949839857,0.40030127909725,0.7536547685956485
m_dot_wh_kg_s_m2,WH mass flow (kg/s/m²),19.7472754060385,-0.9070620835810475,-0.14319923512517083,1.0502613187062182
hydrogel_thickness_mm,Hydrogel thickness (mm),19.7472754060385,0.9337609167924555,0.4634492509112785,1.397210167703734
utilization_factor,Utilization factor,20.908879841687824,-1.2142857142857142,-0.8500000000000001,2.064285714285714
ua_wh_desorber_w_k,WH-to-desorber UA_eq (W/K),19.7472754060385,-2.540766899855439,-0.40569808144589065,2.9464649813013297
h_amb_w_m2_k,h_amb (W/m²K),19.7472754060385,-3.6731888245838573,-0.9856055602445227,4.65879438482838
rh_desorber_switch,Desorber RH switch,19.7472754060385,-20.61677875808526,-2.1331547855379296,22.74993354362319
t_wh_in_c,Waste-heat inlet T (°C),19.7472754060385,-66.15579317516688,-6.222376382172191,72.37816955733906
