sweep_param,param_label,baseline_metric,decrease_sensitivity,increase_sensitivity,total_span
vapor_gap_mm,Vapor gap (mm),0.2054555415185426,0.003531253457160879,0.0036006054261937172,0.007131858883354596
wh_hx_ua_w_k,WH HX UA (W/K),0.2054505769095835,-0.16907350215163894,-0.05024092923831307,0.219314431389952
device_lifetime_years,Device lifetime (yr),0.2054505769095835,-0.2585254431789538,-0.07137409894901271,0.3298995421279665
discount_rate,Discount rate,0.2054505769095835,0.15491848683730483,0.17550150282883972,0.33041998966614455
m_dot_wh_kg_s_m2,WH mass flow (kg/s/m²),0.2054505769095835,-0.4729088320166327,-0.03525621281267777,0.5081650448293105
hydrogel_thickness_mm,Hydrogel thickness (mm),0.2162339873131235,-0.35514996501329793,0.6421278189986672,0.9972777840119651
hydrogel_lifetime_years,Hydrogel lifetime (yr),0.1945442389098832,-1.2333412561476644,-0.30833531403691633,1.5416765701845807
utilization_factor,Utilization factor,0.2175359049630884,-1.2142857142857153,-0.8499999999999982,2.0642857142857136
c_vac_max,Vacuum pump c_max (kg/s/Pa/m²),0.2054505769095835,-2.3452087867371434,1.8344259574223856e-05,2.3452271309967174
h_amb_w_m2_k,h_amb (W/m²K),0.2054505769095835,-2.4921946628557765,-0.1431593417373528,2.6353540045931294
rh_desorber_switch,Desorber RH switch,0.2054505769095835,-36.7538085493498,-0.3023400409975803,37.05614859034738
t_wh_in_c,Waste-heat inlet T (°C),0.2054505769095835,-114.00281839933216,-0.9022372911120665,114.90505569044423
